nombres,names,coicop,EUR_A_073,micro_macro_ref,EUR_A_0111,EUR_A_0112,EUR_A_0113,EUR_A_0114,EUR_A_0115,EUR_A_0116,EUR_A_0117,EUR_A_0118,EUR_A_0119,EUR_A_012,EUR_A_021,EUR_A_022,EUR_A_023,EUR_A_031,EUR_A_032,EUR_A_041,EUR_A_042,EUR_A_043,EUR_A_044,EUR_A_045,EUR_A_051,EUR_A_052,EUR_A_053,EUR_A_054,EUR_A_055,EUR_A_056,EUR_A_061,EUR_A_062,EUR_A_063,EUR_A_071,EUR_A_072,EUR_A_073_T,EUR_A_073_A,EUR_A_073_M,EUR_A_081,EUR_A_082,EUR_A_083,EUR_A_091,EUR_A_092,EUR_A_093,EUR_A_094,EUR_A_095,EUR_A_096,EUR_A_101_105,EUR_A_111,EUR_A_112,EUR_A_121,EUR_A_122,EUR_A_123,EUR_A_124,EUR_A_125,EUR_A_126_128
Art�culos de vestir,Articles of clothing,EUR_A_031,,EUR_A_031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calzado,Footwear,EUR_A_032,,EUR_A_032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alquileres reales de la vivienda,Real rentals,EUR_A_041,,EUR_A_041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alquileres imputados de la vivienda,Imputed rents,EUR_A_042,,EUR_A_042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantenimiento y reparaci�n de la vivienda,Current expenses of maintenance and repair of the housing,EUR_A_043,,EUR_A_043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suministro de agua y servicios diversos relacionados con la vivienda,Other services related to housing,EUR_A_044,,EUR_A_044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electricidad, gas y otros combustibles","Electricity, gas and other fuels",EUR_A_045,,EUR_A_045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muebles, art�culos de amueblamiento, alfombras y otros revestimientos para suelos y sus reparaciones","Furniture, furnishing articles, carpets and other floor coverings and their repairs",EUR_A_051,,EUR_A_051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art�culos textiles para el hogar ,Textile articles for the home and their repairs,EUR_A_052,,EUR_A_052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrodom�sticos para el hogar,"Heating and applicances, refrigerators, washing machines and other large domestic applicances; accesories and their repairs",EUR_A_053,,EUR_A_053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cristaler�a, vajilla y utensilios del hogar","Glassware, crockery, cutlery, other household utensils and their repairs",EUR_A_054,,EUR_A_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herramientas para casa y jard�n,Tools for home and garden,EUR_A_055,,EUR_A_055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bienes y servicios para el mantenimiento corriente del hogar,Goods and services for the current maintenance of the home,EUR_A_056,,EUR_A_056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medicamentos y otros productos farmac�uticos, aparatos y material terap�utico","Medicines and other pharmaceutical products, devices and therapeutic material",EUR_A_061,,EUR_A_061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios m�dicos y param�dicos extrahospitalarios,Out-of-hospital medical and paramedical services,EUR_A_062,,EUR_A_062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios hospitalarios,Hospital services,EUR_A_063,,EUR_A_063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compra de veh�culos,Purchase of vehicles,EUR_A_071,,EUR_A_071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilizaci�n de veh�culos personales,Use of personal vehicles,EUR_A_072,,EUR_A_072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios de transporte terrestre,Terrestrial public transport,EUR_A_073_T,,EUR_A_073_T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios de transporte aereo,Air transport,EUR_A_073_A,,EUR_A_073_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios de transporte mar�timo,Maritim transport,EUR_A_073_M,,EUR_A_073_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
