COICOP,Divisiones COICOP,1995,1996,1997,1998,1999,2000,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EUR_A_042,4.2 Alquileres imputados de la vivienda,"25,013","27,433","29,944","32,330","34,676","37,826","41,116","45,948","50,593","55,773","61,807","68,590","75,500","81,278","84,671","86,898","89,379","90,865","91,595","90,408","89,278","90,119","90,512","92,498","93,907","94,422","96,885","98,785"
EUR_A_043,4.3 Mantenimiento y reparación de la vivienda,"2,237","2,360","2,552","2,980","3,365","3,886","4,062","4,257","4,227","4,431","5,029","5,578","6,143","5,918","6,045","6,112","5,549","4,875","4,701","4,792","5,001","5,250","5,407","5,648","6,089","4,417","6,044","5,187"
EUR_A_044,4.4 Suministro de agua y servicios diversos relacionados con la vivienda,"3,871","4,131","4,411","4,838","5,186","5,581","5,929","6,394","6,979","7,505","8,335","9,305","10,359","11,544","12,289","12,869","13,741","14,038","14,415","14,712","14,671","15,125","15,418","15,639","16,062","15,646","17,066","17,820"
EUR_A_045,"4.5 Electricidad, gas y otros combustibles","7,166","7,461","7,588","7,615","8,270","8,828","9,246","9,778","10,507","11,087","12,218","13,749","14,612","16,476","17,831","20,673","22,453","23,384","22,980","22,837","22,217","21,189","23,384","24,755","24,803","23,998","27,402","32,773"
EUR_A_05,"5. MOBILIARIO, EQUIPAMIENTO DEL HOGAR Y GASTOS CORRIENTES DE CONSERVACION DE LA VIVIENDA","16,770","17,426","18,330","19,909","21,465","22,998","24,139","25,021","26,685","28,033","30,534","33,155","34,858","34,273","32,501","33,282","32,155","29,943","28,642","28,451","30,223","32,194","33,527","33,770","33,265","29,065","33,649","34,928"
EUR_A_051,"5.1 Muebles, artículos de amueblamiento, alfombras y otros revestimientos para suelos y sus reparaciones","5,372","5,673","6,045","6,696","7,241","7,886","8,041","8,261","8,513","8,806","9,401","9,928","10,200","9,771","8,596","8,715","8,096","7,127","6,410","6,203","6,872","7,545","8,129","8,140","8,068","6,245","8,210","9,261"
EUR_A_052,5.2 Artículos textiles para el hogar ,"1,420","1,487","1,550","1,560","1,595","1,651","1,730","1,823","2,129","2,314","2,740","3,084","3,235","3,133","2,823","2,788","2,590","2,318","2,165","2,249","2,424","2,606","2,555","2,607","2,524","1,897","2,488","2,282"
EUR_A_053,5.3 Electrodomésticos para el hogar,"2,637","2,667","2,900","3,155","3,322","3,502","3,659","3,751","4,031","4,326","4,603","5,111","5,371","5,046","4,682","4,712","4,566","4,321","4,093","4,233","4,608","5,007","5,159","5,150","5,022","4,314","5,083","5,541"
EUR_A_054,"5.4 Cristalería, vajilla y utensilios del hogar",870,823,843,882,962,"1,007","1,106","1,084","1,118","1,206","1,329","1,504","1,516","1,425","1,333","1,325","1,204","1,148","1,110","1,114","1,170","1,253","1,332","1,274","1,327","1,256","1,409","1,272"
EUR_A_055,5.5 Herramientas para casa y jardín,222,241,273,344,403,515,631,647,708,815,"1,008","1,234","1,404","1,409","1,486","1,521","1,544","1,605","1,880","1,665","1,770","2,100","2,250","2,125","2,209","2,051","2,369","2,246"
