nombres,names,coicop,EUR_A_073,micro_macro_ref,EUR_A_0111,EUR_A_0112,EUR_A_0113,EUR_A_0114,EUR_A_0115,EUR_A_0116,EUR_A_0117,EUR_A_0118,EUR_A_0119,EUR_A_012,EUR_A_021,EUR_A_022,EUR_A_031,EUR_A_032,EUR_A_041,EUR_A_042,EUR_A_043,EUR_A_044,EUR_A_045,EUR_A_051,EUR_A_052,EUR_A_053,EUR_A_054,EUR_A_055,EUR_A_056,EUR_A_061,EUR_A_062,EUR_A_063,EUR_A_071,EUR_A_072,EUR_A_073_T,EUR_A_073_A,EUR_A_073_M,EUR_A_081,EUR_A_082,EUR_A_083,EUR_A_091,EUR_A_092,EUR_A_093,EUR_A_094,EUR_A_095,EUR_A_096,EUR_A_101_104,EUR_A_111,EUR_A_112,EUR_A_121,EUR_A_123,EUR_A_124,EUR_A_125,EUR_A_126_128
Pan y cereales,Bread and cereals,EUR_A_0111,EUR_A_073_T,EUR_A_0111,EUR_01111,EUR_01121,EUR_01131,EUR_01141,EUR_01151,EUR_01160,EUR_01171,EUR_01181,EUR_01191,EUR_01211,EUR_02111,EUR_02201,EUR_03110,EUR_03211,EUR_04110,EUR_04210,EUR_04310,EUR_04411,EUR_04511,EUR_05111,EUR_05201,EUR_05311,EUR_05401,EUR_05511,EUR_05611,EUR_06111,EUR_06211,EUR_06300,EUR_07111,EUR_07211,EUR_07311,EUR_07331,EUR_07341,EUR_08101,EUR_08201,EUR_08301,EUR_09111,EUR_09210,EUR_09311,EUR_09411,EUR_09511,EUR_09601,EUR_10111,EUR_11111,EUR_11201,EUR_12111,EUR_12311,EUR_12401,EUR_12521,EUR_12620
Carne,Meat,EUR_A_0112,EUR_A_073_A,EUR_A_0112,EUR_01112,EUR_01122,EUR_01132,EUR_01142,EUR_01152,EUR_01161,EUR_01172,EUR_01182,EUR_01192,EUR_01212,EUR_02112,EUR_02202,EUR_03121,EUR_03212,EUR_04121,EUR_04221,EUR_04321,EUR_04412,EUR_04512,EUR_05112,EUR_05202,EUR_05312,EUR_05402,EUR_05512,EUR_05612,EUR_06112,EUR_06212,,EUR_07112,EUR_07212,EUR_07312,EUR_07332,EUR_07342,EUR_08109,EUR_08202,EUR_08302,EUR_09112,EUR_09221,EUR_09312,EUR_09412,EUR_09512,EUR_09602,EUR_10112,EUR_11112,EUR_11202,EUR_12112,EUR_12312,EUR_12402,EUR_12522,EUR_12701
Pescado y marisco�,Fish,EUR_A_0113,EUR_A_073_M,EUR_A_0113,EUR_01113,EUR_01123,EUR_01133,EUR_01143,EUR_01153,EUR_01162,EUR_01173,EUR_01183,EUR_01193,EUR_01213,EUR_02121,EUR_02203,EUR_03122,EUR_03213,EUR_04122,EUR_04222,EUR_04322,EUR_04421,EUR_04521,EUR_05113,EUR_05203,EUR_05313,EUR_05403,EUR_05521,EUR_05621,EUR_06121,EUR_06220,,EUR_07120,EUR_07213,EUR_07313,,,,EUR_08203,EUR_08303,EUR_09113,EUR_09222,EUR_09321,EUR_09421,EUR_09513,,EUR_10113,EUR_11113,EUR_11203,EUR_12113,EUR_12313,EUR_12403,EUR_12530,EUR_12702
"Leche, queso y huevos","Milk, cheese and eggs",EUR_A_0114,,EUR_A_0114,EUR_01114,EUR_01124,EUR_01134,EUR_01144,EUR_01154,EUR_01163,EUR_01174,EUR_01184,EUR_01194,EUR_01214,EUR_02122,,EUR_03123,EUR_03220,EUR_04123,EUR_04223,EUR_04323,EUR_04422,EUR_04522,EUR_05114,EUR_05204,EUR_05314,EUR_05404,EUR_05522,EUR_05622,EUR_06129,EUR_06231,,EUR_07130,EUR_07221,EUR_07321,,,,EUR_08204,EUR_08304,EUR_09119,EUR_09230,EUR_09322,EUR_09422,EUR_09514,,EUR_10114,EUR_11114,EUR_11204,EUR_12121,EUR_12321,EUR_12404,EUR_12541,EUR_12703
Aceites y grasas,Oils and fats,EUR_A_0115,,EUR_A_0115,EUR_01115,EUR_01125,EUR_01135,EUR_01145,EUR_01155,EUR_01164,EUR_01175,EUR_01185,EUR_01195,EUR_01221,EUR_02123,,EUR_03131,,EUR_04124,,EUR_04324,EUR_04431,EUR_04523,EUR_05115,EUR_05209,EUR_05315,,EUR_05523,EUR_05623,EUR_06131,EUR_06232,,,EUR_07222,EUR_07322,,,,,EUR_08309,EUR_09121,,EUR_09323,EUR_09423,EUR_09521,,EUR_10121,EUR_11115,,EUR_12122,EUR_12322,,EUR_12542,EUR_12704
Frutas,Fruits,EUR_A_0116,,EUR_A_0116,EUR_01116,EUR_01126,EUR_01136,EUR_01146,,EUR_01165,EUR_01176,EUR_01186,EUR_01199,EUR_01222,EUR_02124,,EUR_03132,,EUR_04129,,EUR_04325,EUR_04432,EUR_04524,EUR_05121,,EUR_05319,,,EUR_05624,EUR_06132,EUR_06239,,,EUR_07223,EUR_07323,,,,,,EUR_09122,,EUR_09331,EUR_09424,EUR_09522,,EUR_10122,EUR_11116,,EUR_12131,EUR_12323,,EUR_12551,EUR_12810
Verduras,Vegetables including potatoes and other root vegetables,EUR_A_0117,,EUR_A_0117,EUR_01117,EUR_01127,,EUR_01147,,EUR_01166,EUR_01177,,,EUR_01223,EUR_02131,,EUR_03141,,,,EUR_04329,EUR_04441,EUR_04531,EUR_05122,,EUR_05321,,,EUR_05629,EUR_06133,,,,EUR_07224,EUR_07324,,,,,,EUR_09123,,EUR_09332,EUR_09425,EUR_09530,,EUR_10211,EUR_11121,,EUR_12132,EUR_12328,,EUR_12552,EUR_12820
"Az�car, confituras, miel, chocolate y confiter�a","Sugar, preserves, honey, chocolate, confectionery and ice cream",EUR_A_0118,,EUR_A_0118,EUR_01118,EUR_01128,,,,EUR_01167,EUR_01178,,,EUR_01224,EUR_02132,,EUR_03142,,,,,EUR_04442,EUR_04532,EUR_05130,,EUR_05322,,,,EUR_06139,,,,EUR_07230,EUR_07350,,,,,,EUR_09131,,EUR_09341,EUR_09429,EUR_09541,,EUR_10212,EUR_11122,,,EUR_12329,,EUR_12559,
Productos alimenticios no comprendidos anteriormente,Food products not included above,EUR_A_0119,,EUR_A_0119,,,,,,EUR_01168,EUR_01179,,,EUR_01225,EUR_02133,,,,,,,EUR_04443,EUR_04541,,,EUR_05323,,,,,,,,EUR_07241,EUR_07361,,,,,,EUR_09132,,EUR_09342,EUR_09430,EUR_09549,,EUR_10213,EUR_11130,,,,,,
Bebidas no alcoh�licas,Non-alcoholic beverages,EUR_A_012,,EUR_A_012,,,,,,EUR_01169,EUR_0117A,,,,EUR_02134,,,,,,,EUR_04444,EUR_04542,,,EUR_05324,,,,,,,,EUR_07242,EUR_07362,,,,,,EUR_09133,,EUR_09350,,,,EUR_10214,,,,,,,
Bebidas alcoh�licas,Alcoholic beverages,EUR_A_021,,EUR_A_021,,,,,,,EUR_0117B,,,,,,,,,,,EUR_04448,EUR_04548,,,EUR_05329,,,,,,,,EUR_07243,,,,,,,EUR_09134,,,,,,EUR_10221,,,,,,,
Tabaco,Tabacco,EUR_A_022,,EUR_A_022,,,,,,,EUR_0117C,,,,,,,,,,,,EUR_04549,,,EUR_05330,,,,,,,,EUR_07244,,,,,,,EUR_09141,,,,,,EUR_10222,,,,,,,
Art�culos de vestir,Articles of clothing,EUR_A_031,,EUR_A_031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR_07245,,,,,,,EUR_09142,,,,,,EUR_10223,,,,,,,
Calzado,Footwear,EUR_A_032,,EUR_A_032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR_09149,,,,,,EUR_10224,,,,,,,
Alquileres reales de la vivienda,Real rentals,EUR_A_041,,EUR_A_041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR_09150,,,,,,EUR_10225,,,,,,,
Alquileres imputados de la vivienda,Imputed rents,EUR_A_042,,EUR_A_042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR_10301,,,,,,,
